manufacturer;bottle;size;price
Tanqueray;London Dry Gin;0,7 L;18,50 €
Tanqueray;London Dry Gin;1 L;26,90 €
Tanqueray;Gin No.10;0,7 L;27,90 €
Tanqueray;Gin No.10;1 L;41,90 €
Tanqueray;0.0 Alkoholfrei;0,7 L;19,90 €
Tanqueray;Flor de Sevilla Gin;1 L;32,90 €
Tanqueray;Flor de Sevilla Gin;0,7 L;24,90 €
Tanqueray;Blackcurrant Royale Distilled Gin;0,7 L;22,90 €
Tanqueray;Lovage London Dry Gin;1 L;45,90 €
Tanqueray;Gin No.10 Citrus Heart Edition;1 L;44,80 €
Tanqueray;Gin Rangpur;1 L;26,90 €
Tanqueray;Gin Rangpur;0,7 L;23,49 €
Beefeater;London Distilled Dry Gin;0,7 L;17,55 €
Beefeater;London Distilled Dry Gin;1 L;20,90 €
Beefeater;24 London Dry Gin;0,7 L;23,90 €
Bombay;Sapphire London Dry Gin;0,7 L;18,90 €
Bombay;Sapphire London Dry Gin;1 L;24,50 €
Bombay;Sapphire East London Dry Gin;0,7 L;19,29 €
Bombay;Dry Gin;0,7 L;13,90 €
Bombay;London Dry Gin;1 L;21,90 €
Gordons;Special London Dry Gin;0,7 L;11,90 €
Gordons;Special London Dry Gin;1 L;15,90 €
Finsbury;London Dry Gin;0,7 L;9,50 €
Finsbury;Platinum London Dry Gin;1 L;17,50 €
Gin Lane 1751;London Dry Gin;0,7 L;20,90 €
Gin Lane 1751;Royal Strength Gin;0,7 L;22,50 €
Elephant;Gin;0,5 L;33,75 €
Mombasa Club;London Dry Gin;0,7 L;26,90 €
Gunroom;London Dry Gin;0,5 L;26,80 €
Gin Raw;Dry Gin;0,7 L;39,90 €
